Station,year,Recording,PeopleCount
Bermondsey,2007,Exit Saturday,6496
Bermondsey,2007,Exit Sunday,4664
Bermondsey,2007,Annual Entry + Exit,6560143
Bethnal Green,2007,Entry Weekday,23118
Bethnal Green,2007,Entry Saturday,17518
Bethnal Green,2007,Entry Sunday,12003
Bethnal Green,2007,Exit Weekday,20415
Bethnal Green,2007,Exit Saturday,15198
Bethnal Green,2007,Exit Sunday,11392
Bethnal Green,2007,Annual Entry + Exit,14095386
Blackfriars,2007,Entry Weekday,22608
Blackfriars,2007,Entry Saturday,7774
Blackfriars,2007,Entry Sunday,5096
Blackfriars,2007,Exit Weekday,21708
Blackfriars,2007,Exit Saturday,6245
Blackfriars,2007,Exit Sunday,6435
Blackfriars,2007,Annual Entry + Exit,12621265
Blackhorse Road,2007,Entry Weekday,10204
Blackhorse Road,2007,Entry Saturday,7547
Blackhorse Road,2007,Entry Sunday,5003
Blackhorse Road,2007,Exit Weekday,9202
Blackhorse Road,2007,Exit Saturday,6188
Blackhorse Road,2007,Exit Sunday,4402
Blackhorse Road,2007,Annual Entry + Exit,6178833
Bond Street,2007,Entry Weekday,56875
Bond Street,2007,Entry Saturday,46575
Bond Street,2007,Entry Sunday,26939
Bond Street,2007,Exit Weekday,56762
Bond Street,2007,Exit Saturday,46581
Bond Street,2007,Exit Sunday,25629
Bond Street,2007,Annual Entry + Exit,36695785
Borough,2007,Entry Weekday,6727
Borough,2007,Entry Saturday,3965
Borough,2007,Entry Sunday,2664
Borough,2007,Exit Weekday,6689
Borough,2007,Exit Saturday,4207
Borough,2007,Exit Sunday,2747
Borough,2007,Annual Entry + Exit,4138441
Boston Manor,2007,Entry Weekday,3088
Boston Manor,2007,Entry Saturday,2079
Boston Manor,2007,Entry Sunday,1304
Boston Manor,2007,Exit Weekday,2882
Boston Manor,2007,Exit Saturday,1781
Boston Manor,2007,Exit Sunday,1282
Boston Manor,2007,Annual Entry + Exit,1863704
Bounds Green,2007,Entry Weekday,8987
Bounds Green,2007,Entry Saturday,6848
Bounds Green,2007,Entry Sunday,4384
Bounds Green,2007,Exit Weekday,8133
Bounds Green,2007,Exit Saturday,5816
Bounds Green,2007,Exit Sunday,4227
Bounds Green,2007,Annual Entry + Exit,5497937
Bow Road,2007,Entry Weekday,7292
Bow Road,2007,Entry Saturday,5206
Bow Road,2007,Entry Sunday,3512
Bow Road,2007,Exit Weekday,7207
Bow Road,2007,Exit Saturday,4574
Bow Road,2007,Exit Sunday,3503
Bow Road,2007,Annual Entry + Exit,4590692
Brent Cross,2007,Entry Weekday,3098
Brent Cross,2007,Entry Saturday,2124
Brent Cross,2007,Entry Sunday,1496
Brent Cross,2007,Exit Weekday,2859
Brent Cross,2007,Exit Saturday,1903
Brent Cross,2007,Exit Sunday,1485
Brent Cross,2007,Annual Entry + Exit,1892404
Brixton,2007,Entry Weekday,35088
Brixton,2007,Entry Saturday,21979
Brixton,2007,Entry Sunday,14697
Brixton,2007,Exit Weekday,30573
Brixton,2007,Exit Saturday,20930
Brixton,2007,Exit Sunday,14685
Brixton,2007,Annual Entry + Exit,20577039
Bromley-by-Bow,2007,Entry Weekday,4287
Bromley-by-Bow,2007,Entry Saturday,2915
Bromley-by-Bow,2007,Entry Sunday,2077
Bromley-by-Bow,2007,Exit Weekday,4113
Bromley-by-Bow,2007,Exit Saturday,2680
Bromley-by-Bow,2007,Exit Sunday,1928
Bromley-by-Bow,2007,Annual Entry + Exit,2652435
Buckhurst Hill,2007,Entry Weekday,2756
Buckhurst Hill,2007,Entry Saturday,1393
Buckhurst Hill,2007,Entry Sunday,681
Buckhurst Hill,2007,Exit Weekday,2531
Buckhurst Hill,2007,Exit Saturday,1170
Buckhurst Hill,2007,Exit Sunday,639
Buckhurst Hill,2007,Annual Entry + Exit,1548767
Burnt Oak,2007,Entry Weekday,5349
Burnt Oak,2007,Entry Saturday,3623
Burnt Oak,2007,Entry Sunday,2266
Burnt Oak,2007,Exit Weekday,4748
Burnt Oak,2007,Exit Saturday,3148
Burnt Oak,2007,Exit Sunday,2251
Burnt Oak,2007,Annual Entry + Exit,3173136
Caledonian Road,2007,Entry Weekday,8656
Caledonian Road,2007,Entry Saturday,6742
Caledonian Road,2007,Entry Sunday,4059
Caledonian Road,2007,Exit Weekday,7928
Caledonian Road,2007,Exit Saturday,5741
Caledonian Road,2007,Exit Sunday,4215
Caledonian Road,2007,Annual Entry + Exit,5333034
Camden Town,2007,Entry Weekday,24727
Camden Town,2007,Entry Saturday,32168
Camden Town,2007,Entry Sunday,15970
Camden Town,2007,Exit Weekday,26254
Camden Town,2007,Exit Saturday,34845
Camden Town,2007,Exit Sunday,24616
Camden Town,2007,Annual Entry + Exit,18777443
Canada Water,2007,Entry Weekday,13153
Canada Water,2007,Entry Saturday,12194
Canada Water,2007,Entry Sunday,8567
Canada Water,2007,Exit Weekday,13321
Canada Water,2007,Exit Saturday,11527
Canada Water,2007,Exit Sunday,8684
Canada Water,2007,Annual Entry + Exit,8949223
Canary Wharf,2007,Entry Weekday,70506
Canary Wharf,2007,Entry Saturday,24419
Canary Wharf,2007,Entry Sunday,17890
Canary Wharf,2007,Exit Weekday,74908
Canary Wharf,2007,Exit Saturday,26805
Canary Wharf,2007,Exit Sunday,18878
Canary Wharf,2007,Annual Entry + Exit,41622702
Canning Town,2007,Entry Weekday,12614
Canning Town,2007,Entry Saturday,9715
Canning Town,2007,Entry Sunday,7244
Canning Town,2007,Exit Weekday,12249
Canning Town,2007,Exit Saturday,8980
Canning Town,2007,Exit Sunday,6934
Canning Town,2007,Annual Entry + Exit,8098981
Cannon Street,2007,Entry Weekday,8520
Cannon Street,2007,Entry Saturday,1707
Cannon Street,2007,Entry Sunday,0
Cannon Street,2007,Exit Weekday,7155
Cannon Street,2007,Exit Saturday,1054
Cannon Street,2007,Exit Sunday,0
Cannon Street,2007,Annual Entry + Exit,4109347
Canons Park,2007,Entry Weekday,2603
Canons Park,2007,Entry Saturday,1388
Canons Park,2007,Entry Sunday,836
Canons Park,2007,Exit Weekday,2540
Canons Park,2007,Exit Saturday,1235
Canons Park,2007,Exit Sunday,836
Canons Park,2007,Annual Entry + Exit,1536223
Chalfont & Latimer,2007,Entry Weekday,2406
Chalfont & Latimer,2007,Entry Saturday,826
Chalfont & Latimer,2007,Entry Sunday,470
Chalfont & Latimer,2007,Exit Weekday,2227
Chalfont & Latimer,2007,Exit Saturday,753
Chalfont & Latimer,2007,Exit Sunday,424
Chalfont & Latimer,2007,Annual Entry + Exit,1307003
Chalk Farm,2007,Entry Weekday,7640
Chalk Farm,2007,Entry Saturday,6524
Chalk Farm,2007,Entry Sunday,5365
Chalk Farm,2007,Exit Weekday,6324
Chalk Farm,2007,Exit Saturday,4958
Chalk Farm,2007,Exit Sunday,3482
Chalk Farm,2007,Annual Entry + Exit,4651929
Chancery Lane,2007,Entry Weekday,26200
Chancery Lane,2007,Entry Saturday,5384
Chancery Lane,2007,Entry Sunday,2765
Chancery Lane,2007,Exit Weekday,28574
Chancery Lane,2007,Exit Saturday,5962
Chancery Lane,2007,Exit Sunday,2706
Chancery Lane,2007,Annual Entry + Exit,14770603
Charing Cross,2007,Entry Weekday,34806
Charing Cross,2007,Entry Saturday,30764
Charing Cross,2007,Entry Sunday,17998
Charing Cross,2007,Exit Weekday,34185
Charing Cross,2007,Exit Saturday,25129
Charing Cross,2007,Exit Sunday,14812
Charing Cross,2007,Annual Entry + Exit,22296949
Chesham,2007,Entry Weekday,811
Chesham,2007,Entry Saturday,395
Chesham,2007,Entry Sunday,221
Chesham,2007,Exit Weekday,646
Chesham,2007,Exit Saturday,319
Chesham,2007,Exit Sunday,216
Chesham,2007,Annual Entry + Exit,431532
Chigwell,2007,Entry Weekday,732
Chigwell,2007,Entry Saturday,307
Chigwell,2007,Entry Sunday,156
Chigwell,2007,Exit Weekday,576
Chigwell,2007,Exit Saturday,272
Chigwell,2007,Exit Sunday,160
Chigwell,2007,Annual Entry + Exit,379676
Chiswick Park,2007,Entry Weekday,3593
Chiswick Park,2007,Entry Saturday,2172
Chiswick Park,2007,Entry Sunday,1314
Chiswick Park,2007,Exit Weekday,3715
Chiswick Park,2007,Exit Saturday,2059
Chiswick Park,2007,Exit Sunday,1294
Chiswick Park,2007,Annual Entry + Exit,2222808
Chorleywood,2007,Entry Weekday,1801
Chorleywood,2007,Entry Saturday,707
Chorleywood,2007,Entry Sunday,399
Chorleywood,2007,Exit Weekday,1690
Chorleywood,2007,Exit Saturday,655
Chorleywood,2007,Exit Sunday,360
Chorleywood,2007,Annual Entry + Exit,998828
Clapham Common,2007,Entry Weekday,12644
Clapham Common,2007,Entry Saturday,11386
Clapham Common,2007,Entry Sunday,7073
Clapham Common,2007,Exit Weekday,13807
Clapham Common,2007,Exit Saturday,12382
Clapham Common,2007,Exit Sunday,7203
Clapham Common,2007,Annual Entry + Exit,8770323
Clapham North,2007,Entry Weekday,7767
Clapham North,2007,Entry Saturday,7982
Clapham North,2007,Entry Sunday,4932
Clapham North,2007,Exit Weekday,9258
Clapham North,2007,Exit Saturday,7779
Clapham North,2007,Exit Sunday,4968
Clapham North,2007,Annual Entry + Exit,5710997
Clapham South,2007,Entry Weekday,11988
Clapham South,2007,Entry Saturday,8488
Clapham South,2007,Entry Sunday,5306
Clapham South,2007,Exit Weekday,11442
Clapham South,2007,Exit Saturday,7483
Clapham South,2007,Exit Sunday,5225
Clapham South,2007,Annual Entry + Exit,7379611
Cockfosters,2007,Entry Weekday,2575
Cockfosters,2007,Entry Saturday,2092
Cockfosters,2007,Entry Sunday,1172
Cockfosters,2007,Exit Weekday,2483
Cockfosters,2007,Exit Saturday,1977
Cockfosters,2007,Exit Sunday,1222
Cockfosters,2007,Annual Entry + Exit,1632508
Colindale,2007,Entry Weekday,6395
Colindale,2007,Entry Saturday,4097
Colindale,2007,Entry Sunday,2747
Colindale,2007,Exit Weekday,5788
Colindale,2007,Exit Saturday,3540
Colindale,2007,Exit Sunday,2522
Colindale,2007,Annual Entry + Exit,3790294
Colliers Wood,2007,Entry Weekday,8528
Colliers Wood,2007,Entry Saturday,6180
Colliers Wood,2007,Entry Sunday,4102
Colliers Wood,2007,Exit Weekday,7922
Colliers Wood,2007,Exit Saturday,5404
Colliers Wood,2007,Exit Sunday,3897
Colliers Wood,2007,Annual Entry + Exit,5236159
Covent Garden,2007,Entry Weekday,15098
Covent Garden,2007,Entry Saturday,30344
Covent Garden,2007,Entry Sunday,16600
Covent Garden,2007,Exit Weekday,13039
Covent Garden,2007,Exit Saturday,36838
Covent Garden,2007,Exit Sunday,19508
Covent Garden,2007,Annual Entry + Exit,12742497
Croxley,2007,Entry Weekday,1294
Croxley,2007,Entry Saturday,438
Croxley,2007,Entry Sunday,244
Croxley,2007,Exit Weekday,1303
Croxley,2007,Exit Saturday,425
Croxley,2007,Exit Sunday,224
Croxley,2007,Annual Entry + Exit,729529
Dagenham East,2007,Entry Weekday,3527
Dagenham East,2007,Entry Saturday,2104
Dagenham East,2007,Entry Sunday,1293
Dagenham East,2007,Exit Weekday,3344
Dagenham East,2007,Exit Saturday,1932
Dagenham East,2007,Exit Sunday,1138
Dagenham East,2007,Annual Entry + Exit,2091664
Dagenham Heathway,2007,Entry Weekday,6060
Dagenham Heathway,2007,Entry Saturday,3916
Dagenham Heathway,2007,Entry Sunday,2898
Dagenham Heathway,2007,Exit Weekday,5718
Dagenham Heathway,2007,Exit Saturday,3922
Dagenham Heathway,2007,Exit Sunday,2820
Dagenham Heathway,2007,Annual Entry + Exit,3724772
Debden,2007,Entry Weekday,3388
Debden,2007,Entry Saturday,1035
Debden,2007,Entry Sunday,474
Debden,2007,Exit Weekday,3033
Debden,2007,Exit Saturday,865
Debden,2007,Exit Sunday,426
Debden,2007,Annual Entry + Exit,1776413
Dollis Hill,2007,Entry Weekday,6407
Dollis Hill,2007,Entry Saturday,4541
Dollis Hill,2007,Entry Sunday,3127
Dollis Hill,2007,Exit Weekday,5289
Dollis Hill,2007,Exit Saturday,4298
Dollis Hill,2007,Exit Sunday,3329
Dollis Hill,2007,Annual Entry + Exit,3799620
Ealing Broadway,2007,Entry Weekday,28393
Ealing Broadway,2007,Entry Saturday,19066
Ealing Broadway,2007,Entry Sunday,12511
Ealing Broadway,2007,Exit Weekday,27510
Ealing Broadway,2007,Exit Saturday,17947
Ealing Broadway,2007,Exit Sunday,12227
Ealing Broadway,2007,Annual Entry + Exit,17527677
Ealing Common,2007,Entry Weekday,5320
Ealing Common,2007,Entry Saturday,4040
Ealing Common,2007,Entry Sunday,2557
Ealing Common,2007,Exit Weekday,5343
Ealing Common,2007,Exit Saturday,3885
Ealing Common,2007,Exit Sunday,2680
Ealing Common,2007,Annual Entry + Exit,3418822
Earl's Court,2007,Entry Weekday,31919
Earl's Court,2007,Entry Saturday,29245
Earl's Court,2007,Entry Sunday,20835
Earl's Court,2007,Exit Weekday,29205
Earl's Court,2007,Exit Saturday,28104
Earl's Court,2007,Exit Sunday,20083
Earl's Court,2007,Annual Entry + Exit,20860682
East Acton,2007,Entry Weekday,5849
East Acton,2007,Entry Saturday,3980
East Acton,2007,Entry Sunday,2678
East Acton,2007,Exit Weekday,5816
East Acton,2007,Exit Saturday,3425
East Acton,2007,Exit Sunday,2537
East Acton,2007,Annual Entry + Exit,3643990
East Finchley,2007,Entry Weekday,9556
East Finchley,2007,Entry Saturday,6193
East Finchley,2007,Entry Sunday,3591
East Finchley,2007,Exit Weekday,9005
East Finchley,2007,Exit Saturday,5264
East Finchley,2007,Exit Sunday,3548
East Finchley,2007,Annual Entry + Exit,5712898
East Ham,2007,Entry Weekday,19063
East Ham,2007,Entry Saturday,14630
East Ham,2007,Entry Sunday,10532
East Ham,2007,Exit Weekday,19148
East Ham,2007,Exit Saturday,13897
East Ham,2007,Exit Sunday,10269
East Ham,2007,Annual Entry + Exit,12378046
East Putney,2007,Entry Weekday,9400
East Putney,2007,Entry Saturday,7341
East Putney,2007,Entry Sunday,4458
East Putney,2007,Exit Weekday,8615
East Putney,2007,Exit Saturday,6508
East Putney,2007,Exit Sunday,3964
East Putney,2007,Annual Entry + Exit,5774841
Eastcote,2007,Entry Weekday,4009
Eastcote,2007,Entry Saturday,2378
Eastcote,2007,Entry Sunday,1251
Eastcote,2007,Exit Weekday,3778
Eastcote,2007,Exit Saturday,2195
Eastcote,2007,Exit Sunday,1199
Eastcote,2007,Annual Entry + Exit,2352457
Edgware,2007,Entry Weekday,5473
Edgware,2007,Entry Saturday,4363
Edgware,2007,Entry Sunday,2749
Edgware,2007,Exit Weekday,5258
Edgware,2007,Exit Saturday,3766
Edgware,2007,Exit Sunday,2709
Edgware,2007,Annual Entry + Exit,3459673
Edgware Road (Bak),2007,Entry Weekday,5562
Edgware Road (Bak),2007,Entry Saturday,3871
Edgware Road (Bak),2007,Entry Sunday,2478
Edgware Road (Bak),2007,Exit Weekday,5618
Edgware Road (Bak),2007,Exit Saturday,3892
Edgware Road (Bak),2007,Exit Sunday,2418
Edgware Road (Bak),2007,Annual Entry + Exit,3521080
Edgware Road (Cir),2007,Entry Weekday,9738
Edgware Road (Cir),2007,Entry Saturday,5851
Edgware Road (Cir),2007,Entry Sunday,3839
Edgware Road (Cir),2007,Exit Weekday,9810
Edgware Road (Cir),2007,Exit Saturday,5665
Edgware Road (Cir),2007,Exit Sunday,3761
Edgware Road (Cir),2007,Annual Entry + Exit,5992876
Elephant & Castle,2007,Entry Weekday,28194
Elephant & Castle,2007,Entry Saturday,18015
Elephant & Castle,2007,Entry Sunday,12652
Elephant & Castle,2007,Exit Weekday,26402
Elephant & Castle,2007,Exit Saturday,17650
Elephant & Castle,2007,Exit Sunday,12177
Elephant & Castle,2007,Annual Entry + Exit,17132279
Elm Park,2007,Entry Weekday,4100
Elm Park,2007,Entry Saturday,1939
Elm Park,2007,Entry Sunday,895
Elm Park,2007,Exit Weekday,3611
Elm Park,2007,Exit Saturday,1533
Elm Park,2007,Exit Sunday,879
Elm Park,2007,Annual Entry + Exit,2236093
Embankment,2007,Entry Weekday,31118
Embankment,2007,Entry Saturday,25597
Embankment,2007,Entry Sunday,13811
Embankment,2007,Exit Weekday,31042
Embankment,2007,Exit Saturday,25990
Embankment,2007,Exit Sunday,12700
Embankment,2007,Annual Entry + Exit,19973153
Epping,2007,Entry Weekday,3935
Epping,2007,Entry Saturday,2422
Epping,2007,Entry Sunday,1407
Epping,2007,Exit Weekday,3561
Epping,2007,Exit Saturday,2246
Epping,2007,Exit Sunday,1330
Epping,2007,Annual Entry + Exit,2300707
Euston,2007,Entry Weekday,41701
Euston,2007,Entry Saturday,24786
Euston,2007,Entry Sunday,17995
Euston,2007,Exit Weekday,42195
Euston,2007,Exit Saturday,23709
Euston,2007,Exit Sunday,16512
Euston,2007,Annual Entry + Exit,25783341
Euston Square,2007,Entry Weekday,17245
Euston Square,2007,Entry Saturday,5564
Euston Square,2007,Entry Sunday,3998
Euston Square,2007,Exit Weekday,17759
Euston Square,2007,Exit Saturday,6298
Euston Square,2007,Exit Sunday,4239
Euston Square,2007,Annual Entry + Exit,9958819
Fairlop,2007,Entry Weekday,1217
Fairlop,2007,Entry Saturday,600
Fairlop,2007,Entry Sunday,309
Fairlop,2007,Exit Weekday,1140
Fairlop,2007,Exit Saturday,593
Fairlop,2007,Exit Sunday,341
Fairlop,2007,Annual Entry + Exit,696707
Farringdon,2007,Entry Weekday,34108
Farringdon,2007,Entry Saturday,8359
Farringdon,2007,Entry Sunday,4429
Farringdon,2007,Exit Weekday,32664
Farringdon,2007,Exit Saturday,8957
Farringdon,2007,Exit Sunday,3897
Farringdon,2007,Annual Entry + Exit,18284982
Finchley Central,2007,Entry Weekday,8020
Finchley Central,2007,Entry Saturday,5963
Finchley Central,2007,Entry Sunday,2912
Finchley Central,2007,Exit Weekday,7805
Finchley Central,2007,Exit Saturday,5303
Finchley Central,2007,Exit Sunday,3059
Finchley Central,2007,Annual Entry + Exit,4941846
Finchley Road,2007,Entry Weekday,15550
Finchley Road,2007,Entry Saturday,11513
Finchley Road,2007,Entry Sunday,7635
Finchley Road,2007,Exit Weekday,14945
Finchley Road,2007,Exit Saturday,10802
Finchley Road,2007,Exit Sunday,7662
Finchley Road,2007,Annual Entry + Exit,9778138
Finsbury Park,2007,Entry Weekday,41266
Finsbury Park,2007,Entry Saturday,33387
Finsbury Park,2007,Entry Sunday,18981
Finsbury Park,2007,Exit Weekday,35854
Finsbury Park,2007,Exit Saturday,26554
Finsbury Park,2007,Exit Sunday,17845
Finsbury Park,2007,Annual Entry + Exit,24801026
Fulham Broadway,2007,Entry Weekday,15836
Fulham Broadway,2007,Entry Saturday,13703
Fulham Broadway,2007,Entry Sunday,7293
Fulham Broadway,2007,Exit Weekday,16078
Fulham Broadway,2007,Exit Saturday,12958
Fulham Broadway,2007,Exit Sunday,6783
Fulham Broadway,2007,Annual Entry + Exit,10291098
Gants Hill,2007,Entry Weekday,7750
Gants Hill,2007,Entry Saturday,4003
Gants Hill,2007,Entry Sunday,2649
Gants Hill,2007,Exit Weekday,7316
Gants Hill,2007,Exit Saturday,3830
Gants Hill,2007,Exit Sunday,2577
Gants Hill,2007,Annual Entry + Exit,4527348
Gloucester Road,2007,Entry Weekday,21232
Gloucester Road,2007,Entry Saturday,15453
Gloucester Road,2007,Entry Sunday,11463
Gloucester Road,2007,Exit Weekday,20941
Gloucester Road,2007,Exit Saturday,16037
Gloucester Road,2007,Exit Sunday,10556
Gloucester Road,2007,Annual Entry + Exit,13606370
Golders Green,2007,Entry Weekday,11910
Golders Green,2007,Entry Saturday,9091
Golders Green,2007,Entry Sunday,6560
Golders Green,2007,Exit Weekday,11709
Golders Green,2007,Exit Saturday,8102
Golders Green,2007,Exit Sunday,6539
Golders Green,2007,Annual Entry + Exit,7642484
Goldhawk Road,2007,Entry Weekday,2556
Goldhawk Road,2007,Entry Saturday,1883
Goldhawk Road,2007,Entry Sunday,1071
Goldhawk Road,2007,Exit Weekday,2496
Goldhawk Road,2007,Exit Saturday,1677
Goldhawk Road,2007,Exit Sunday,1121
Goldhawk Road,2007,Annual Entry + Exit,1592604
Goodge Street,2007,Entry Weekday,13679
Goodge Street,2007,Entry Saturday,5830
Goodge Street,2007,Entry Sunday,3203
Goodge Street,2007,Exit Weekday,13797
Goodge Street,2007,Exit Saturday,6018
Goodge Street,2007,Exit Sunday,3046
Goodge Street,2007,Annual Entry + Exit,7936215
Grange Hill,2007,Entry Weekday,729
Grange Hill,2007,Entry Saturday,322
Grange Hill,2007,Entry Sunday,146
Grange Hill,2007,Exit Weekday,648
Grange Hill,2007,Exit Saturday,261
Grange Hill,2007,Exit Sunday,135
Grange Hill,2007,Annual Entry + Exit,395276
Great Portland Street,2007,Entry Weekday,10989
Great Portland Street,2007,Entry Saturday,4324
Great Portland Street,2007,Entry Sunday,2859
Great Portland Street,2007,Exit Weekday,10687
Great Portland Street,2007,Exit Saturday,3894
Great Portland Street,2007,Exit Sunday,2223
Great Portland Street,2007,Annual Entry + Exit,6211202
Green Park,2007,Entry Weekday,46339
Green Park,2007,Entry Saturday,23978
Green Park,2007,Entry Sunday,14283
Green Park,2007,Exit Weekday,53304
Green Park,2007,Exit Saturday,31876
Green Park,2007,Exit Sunday,18264
Green Park,2007,Annual Entry + Exit,30034360
Greenford,2007,Entry Weekday,6089
Greenford,2007,Entry Saturday,3795
Greenford,2007,Entry Sunday,2140
Greenford,2007,Exit Weekday,5335
Greenford,2007,Exit Saturday,3468
Greenford,2007,Exit Sunday,2052
Greenford,2007,Annual Entry + Exit,3515276
Gunnersbury,2007,Entry Weekday,6700
Gunnersbury,2007,Entry Saturday,2910
Gunnersbury,2007,Entry Sunday,1796
Gunnersbury,2007,Exit Weekday,5830
Gunnersbury,2007,Exit Saturday,2775
Gunnersbury,2007,Exit Sunday,1462
Gunnersbury,2007,Annual Entry + Exit,3657932
Hainault,2007,Entry Weekday,3898
Hainault,2007,Entry Saturday,1800
Hainault,2007,Entry Sunday,1073
Hainault,2007,Exit Weekday,3737
Hainault,2007,Exit Saturday,1682
Hainault,2007,Exit Sunday,1112
Hainault,2007,Annual Entry + Exit,2241634
Hammersmith (Dis),2007,Entry Weekday,42846
Hammersmith (Dis),2007,Entry Saturday,31001
